inst,N,K_train,K_test,L_test,epsilon,T,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18
73,20,6,6,-1,5,2,1800.559168100357,4.511795348486844,3.581409215927124,4.581708437920595,9.866029977798462,4.581708437920595,41.05345559120178,4.5730505437044,71.78809523582458,4.554912828695357,197.89411807060242,4.545989039825708,348.22220492362976,4.524794215386361,1605.9993965625763,4.5247634550222005,1714.3786330223083,4.511795348486844,,,,,,,,,,,,,,,,,,,,
74,20,6,6,-1,5,2,1800.0506229400635,4.077266071861148,1.5525915622711182,4.1308007250644305,3.020268678665161,4.1308007250644305,5.133194923400879,4.11009725953942,66.21698021888733,4.108351566321715,68.57578897476196,4.108065447774512,89.36298871040344,4.106589296249994,281.36745429039,4.1024965178873565,408.04901242256165,4.077266071861148,,,,,,,,,,,,,,,,,,,,
75,20,6,6,-1,5,2,1800.1057069301605,4.067168186216136,7.73941445350647,4.216884689969616,25.965949773788452,4.216884689969616,45.72056484222412,4.160682470103488,61.58703923225403,4.160646854722243,87.4977822303772,4.155083428043916,96.33410310745239,4.138393468791977,122.68474292755127,4.112425210928935,902.4065113067627,4.112205369907492,906.8581783771515,4.088835667612357,1523.0425009727478,4.079223313236572,1575.8516409397125,4.067168186216136,,,,,,,,,,,,,,
76,20,6,6,-1,5,2,1800.2813472747803,4.221997039896045,2.8680403232574463,4.343223342833422,8.661381244659424,4.343223342833422,13.161050796508789,4.298635361976891,29.933019876480103,4.281558982894261,61.220170974731445,4.262352897119922,64.85226249694824,4.249445481794849,289.39808988571167,4.236494617193422,397.85879039764404,4.235269076714818,520.4194982051849,4.233502920807971,825.0887281894684,4.223386177571061,982.0082674026489,4.221997039896045,,,,,,,,,,,,,,
77,20,6,6,-1,5,2,1800.0271999835968,4.150648212399612,3.0113656520843506,4.320038059452259,7.977696180343628,4.2581196857013985,7.977787733078003,4.2581196857013985,11.958191394805908,4.197790311084852,32.121269941329956,4.1962074991259355,32.59884715080261,4.188999798469808,53.17940306663513,4.184248480859651,258.2755229473114,4.1583192977080286,560.7426373958588,4.158271627391908,1086.5063667297363,4.15813217039297,1645.1446616649628,4.150648212399612,,,,,,,,,,,,,,
78,20,6,6,-1,5,2,1800.0103476047516,4.106387724265325,6.3808274269104,4.218900939872228,10.622571229934692,4.218900939872228,23.833706378936768,4.208664048285056,25.612579345703125,4.205396192719406,76.34270429611206,4.166468932449355,118.56011462211609,4.127177402424759,383.14777088165283,4.117736201468151,397.09282994270325,4.109761765985424,564.1184344291687,4.106387724265325,,,,,,,,,,,,,,,,,,
79,20,6,6,-1,5,2,1800.2143819332123,3.9471577296799683,3.9314966201782227,4.058255013380939,7.019016742706299,4.058255013380939,17.50159215927124,4.04176306553327,68.84604001045227,4.0270234586120095,71.74785709381104,4.008644870628312,86.68603730201721,3.9977712006059267,129.74512124061584,3.9662667855308746,218.43669724464417,3.9656581934119255,279.007116317749,3.9518314992685895,315.98863530158997,3.947871649674764,1403.4531285762787,3.9471577296799683,,,,,,,,,,,,,,
80,20,6,6,-1,5,2,1800.2554864883423,4.416872681982771,2.4575746059417725,4.5403091198346495,3.2096526622772217,4.458916699682825,3.2097439765930176,4.458916699682825,9.961984634399414,4.417478141946248,409.18143033981323,4.416872681982771,,,,,,,,,,,,,,,,,,,,,,,,,,
81,20,6,6,-1,5,2,1800.229813337326,4.1617202784729175,1.9024426937103271,4.38820698230909,3.109692096710205,4.381368345630512,3.1097850799560547,4.381368345630512,6.358480215072632,4.322217730160034,9.120673418045044,4.2480530205690625,11.099286079406738,4.231402880603571,16.458256006240845,4.19580596944038,39.53676390647888,4.173151961000046,69.15911364555359,4.171542219957023,196.38211274147034,4.1713998680756506,197.7690622806549,4.170285975504869,273.7736186981201,4.169514550453113,383.6962561607361,4.162820237731177,473.7794237136841,4.1617202784729175,,,,,,,,
82,20,6,6,-1,5,2,1800.102443933487,4.299073071950794,2.8554606437683105,4.435384827427975,3.3828577995300293,4.350870735339246,3.382951021194458,4.350870735339246,24.67695379257202,4.349090001069045,30.195489645004272,4.3440932493553435,36.604732036590576,4.330575496267226,61.75662279129028,4.330075371941791,75.44116401672363,4.320541133115661,222.67456126213074,4.3043853419377625,779.2864394187927,4.299073071950794,,,,,,,,,,,,,,,,
