inst,N,K,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15
63,20,2,1800.1843345165253,4.478734548939673,16.233598470687866,4.604073479434912,63.079195976257324,4.498183728168143,276.0597722530365,4.478734548939673,,,,,,,,,,,,,,,,,,,,,,,,
64,20,2,1800.1004462242126,4.439144562770636,12.196516752243042,4.5056434214367975,240.19583559036255,4.502992345266516,290.5008544921875,4.493507060544251,327.91582107543945,4.474974997160017,332.123437166214,4.439144562770636,,,,,,,,,,,,,,,,,,,,
65,20,2,1800.5093312263489,5.017428324077463,23.34268283843994,5.0240093553613,343.9304964542389,5.017428324077463,,,,,,,,,,,,,,,,,,,,,,,,,,
66,20,2,1800.1075341701508,4.682428264190978,6.848888158798218,4.682428610637004,755.3873469829559,4.682428578200565,967.4852044582367,4.682428264190978,,,,,,,,,,,,,,,,,,,,,,,,
67,20,2,1800.4490878582,4.299785735604345,1.4004979133605957,4.299786152462748,140.14923429489136,4.2997860674807,312.4957094192505,4.299785773322476,1131.519693851471,4.299785735604345,,,,,,,,,,,,,,,,,,,,,,
68,20,2,1800.055315732956,4.552388925539027,7.421117544174194,4.7290454191629845,84.07488965988159,4.695160338726324,88.56918454170227,4.658534230099377,105.29111075401306,4.6293206703300145,139.29668879508972,4.591010017889046,262.0817048549652,4.55933254303914,837.5642092227936,4.552388925539027,,,,,,,,,,,,,,,,
69,20,2,1800.171082496643,4.50961922521355,18.741867780685425,4.6136855071950835,27.539365530014038,4.540308872990014,53.677457332611084,4.536633183578779,56.855674505233765,4.535272370967315,213.6894941329956,4.519094000292656,440.79870986938477,4.50961922521355,,,,,,,,,,,,,,,,,,
70,20,2,421.64743304252625,4.610558313886884,1.3016183376312256,4.610558873532286,119.41219735145569,4.610558635325347,226.14401125907898,4.610558487847904,336.49052143096924,4.610558313886884,,,,,,,,,,,,,,,,,,,,,,
71,20,2,1800.4654903411865,4.658992103128828,27.89084482192993,4.700573582327265,77.90953230857849,4.683751307800411,97.40232348442078,4.680805552455925,114.63291335105896,4.680362582212037,234.94860696792603,4.67995904399219,460.2067201137543,4.675289261176944,461.26148772239685,4.658992103128828,,,,,,,,,,,,,,,,
72,20,2,1800.0822145938873,4.765243319154943,7.393232345581055,4.828187457888894,13.695591688156128,4.7774833889270845,189.99909734725952,4.765243319154943,,,,,,,,,,,,,,,,,,,,,,,,
73,20,2,1800.5782990455627,4.872717884329973,14.974935054779053,4.915558682561408,78.79335021972656,4.910889525739847,179.46996140480042,4.872717884329973,,,,,,,,,,,,,,,,,,,,,,,,
74,20,2,1800.3834772109985,4.544232443182071,2.689070224761963,4.5442326155024215,263.23722076416016,4.544232483097848,1709.9851393699646,4.544232443182071,,,,,,,,,,,,,,,,,,,,,,,,
75,20,2,1800.5176215171814,4.662830433710852,35.2897629737854,4.6765433416614,327.5528597831726,4.662830433710852,,,,,,,,,,,,,,,,,,,,,,,,,,
76,20,2,1800.6066937446594,4.7695125316582665,18.183732271194458,4.921947431136038,24.24111771583557,4.857657634643473,39.356937885284424,4.811150052586967,204.59290766716003,4.795815976293569,1246.335371017456,4.7695125316582665,,,,,,,,,,,,,,,,,,,,
77,20,2,1800.0509407520294,4.65995614738032,5.333517789840698,4.65995659114367,334.614040851593,4.659956348546605,358.1044611930847,4.659956257691613,371.420049905777,4.65995614738032,,,,,,,,,,,,,,,,,,,,,,
78,20,2,1800.2136144638062,4.5720867111658015,16.910969018936157,4.6159097488517284,275.8479468822479,4.583577495792015,378.2523262500763,4.5720867111658015,,,,,,,,,,,,,,,,,,,,,,,,
79,20,2,1800.201933145523,4.5193098502427835,12.269206047058105,4.638623668782165,101.4381000995636,4.6343637385311665,316.9082090854645,4.619249839804695,330.1791641712189,4.552554195446632,912.4907791614532,4.5193098502427835,,,,,,,,,,,,,,,,,,,,
80,20,2,1800.2491245269775,4.781994176967531,4.561616897583008,4.837537078807209,7.581756353378296,4.806696680432443,73.90966033935547,4.785074813223586,808.2814857959747,4.781994176967531,,,,,,,,,,,,,,,,,,,,,,
81,20,2,1800.2120604515076,4.6315218885307115,2.3370821475982666,4.631522559803663,27.2091064453125,4.631522404101459,41.890669107437134,4.631522135130936,188.54038906097412,4.6315218885307115,,,,,,,,,,,,,,,,,,,,,,
82,20,2,1800.1799206733704,4.659897097941015,5.757211208343506,4.659897340538276,190.77367496490479,4.659897156891873,1180.8872199058533,4.6598971433420715,1567.937034368515,4.659897097941015,,,,,,,,,,,,,,,,,,,,,,
83,20,2,1331.0449056625366,4.6397702152777,0.8464560508728027,4.639772169166414,127.59340333938599,4.639771887599938,132.76096200942993,4.6397702152777,,,,,,,,,,,,,,,,,,,,,,,,
84,20,2,1800.2657558918,4.840346693988184,11.071902990341187,4.8466337684944465,68.44231534004211,4.840346693988184,,,,,,,,,,,,,,,,,,,,,,,,,,
