inst,N,K,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18,time_19,obj_19,time_20,obj_20,time_21,obj_21
83,20,2,1800.7280683517456,19.833966947507463,49.15756344795227,20.241813047166012,105.27466416358948,20.207642541726916,181.36709141731262,20.041450332741476,205.6326630115509,19.91733887833609,325.15824604034424,19.846998281930542,648.8140597343445,19.833966947507463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,20,2,1800.388112783432,17.097112970824977,1.4806227684020996,17.097114380052272,411.9141170978546,17.097113723947217,449.1646590232849,17.097113437869183,1267.265639781952,17.09711315039539,1396.8247501850128,17.097112970824977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,20,2,1800.1465003490448,17.30421241487832,8.888084650039673,17.60534072220997,25.625985145568848,17.488097382212565,30.49040150642395,17.411373057499752,38.99861264228821,17.38469422493474,123.31680011749268,17.371965960840765,135.76239371299744,17.33255154164917,200.71442794799805,17.30421241487832,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,20,2,1800.2584702968597,16.79152710857308,54.151984214782715,17.003132261819488,198.77242064476013,16.90580787936445,342.8162636756897,16.79152710857308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,20,2,1800.7791171073914,18.067357797975276,57.75139880180359,18.681146566584864,87.84959077835083,18.465148677589912,100.42282748222351,18.26356960298973,122.8349437713623,18.23789070285491,217.87629556655884,18.093121832204705,1523.1956746578217,18.067357797975276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,20,2,1800.193808555603,20.1223016912792,97.86524796485901,20.316378688391303,320.88640666007996,20.30508891509077,809.2462985515594,20.1223016912792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,20,2,1800.0586850643158,20.65747121144114,9.903573751449585,20.657472434037118,150.63220524787903,20.6574720953607,638.690131187439,20.65747121144114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,20,2,1800.2773170471191,17.682021320711858,6.41853666305542,17.68202303133619,69.00499486923218,17.682022052329888,558.8914778232574,17.682021909014942,745.7601697444916,17.682021320711858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,20,2,1800.2253620624542,19.424518328621325,26.950429439544678,19.653105054876676,1275.6053659915924,19.63546425336498,1526.2383756637573,19.424518328621325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,20,2,1800.2991273403168,18.15786331356797,15.150398015975952,18.747116806129526,31.833056688308716,18.519659735299815,70.31441688537598,18.50528322849549,176.82786440849304,18.376245153810427,223.6250081062317,18.175423896876307,260.4758336544037,18.15786331356797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
